Zipcode,Enrollment,CLASS.Emotional.Support.Score,CLASS.Instructional.Support.Score,Total.ECERS,Max.Score,Year,Number
10001,22.83333333,6.24,2.66,49.28333333,60.3,2016,6
10002,34.23076923,6.356,2.604,47.20769231,65.8,2016,28
10003,29.5,6.7,2.75,52.95,58.4,2016,2
10004,22,6.566666667,2.866666667,59.86666667,68.8,2016,3
10007,40,6.9,4.7,54.1,54.1,2016,1
10009,24.84615385,6.66,3.02,46.02666667,63,2016,15
10010,14,6.4,3.3,58.5,58.5,2016,1
10011,42.4,6.75,2.75,53,64.9,2016,6
10012,28,6.65,3.7,56.05,61.7,2016,2
10013,19.28571429,6.714285714,3.342857143,52.01428571,60.1,2016,7
10014,50,5.3,2.4,47.4,47.4,2016,1
10016,43,6.45,2.65,57,69.1,2016,4
10018,10,6.9,4.4,45,45,2016,1
10019,40.33333333,6.633333333,3.266666667,47.2,52.4,2016,3
10021,57.5,6.6,3,46.6,46.6,2016,2
10022,NA,6,3.6,NA,NA,2016,1
10023,25.6,6.46,3.82,54.36,63.4,2016,5
10024,20.625,6.4625,2.3375,42.9875,51.7,2016,8
10025,26.78571429,6.330769231,2.815384615,50.21333333,62.8,2016,15
10026,26.77777778,6.388888889,2.844444444,47.93333333,62.2,2016,10
10027,37.38888889,6.3625,3.34375,44.07222222,65,2016,18
10028,31.33333333,6.8,3.2,54.5,59.9,2016,3
10029,25.23529412,6.234482759,2.803448276,48,58.4,2016,35
10030,29.28571429,6.1125,3.525,41.01428571,48.9,2016,8
10031,33.83333333,5.933333333,2.566666667,50.81666667,57.2,2016,6
10032,43.75,6.518181818,3.181818182,52.175,57.7,2016,12
10033,48.08333333,6.336363636,2.636363636,52.23846154,67.5,2016,13
10034,42.71428571,6.385714286,2.914285714,47.97142857,58.3,2016,7
10035,22.42857143,6.108333333,3.183333333,48.65714286,59.8,2016,14
10036,37,6.666666667,3.466666667,50.2,67.1,2016,3
10037,16.66666667,5.12,2.42,51.37142857,57.6,2016,7
10038,36,6.4,2.8,48.4,70.5,2016,7
10039,23.75,6.242857143,3.371428571,47.15,58.6,2016,8
10040,50,6.583333333,3.016666667,50.46,66.8,2016,6
10044,37.5,NA,NA,52.4,54.6,2016,2
10065,22,6.5,2.466666667,48.575,56.1,2016,4
10075,71,6.9,2.2,42.5,42.5,2016,1
10128,31.33333333,6.5,3.5,46.1,53.3,2016,3
10280,35,6.8,3.9,55.2,55.2,2016,1
10282,36,6.7,3,49.8,49.8,2016,1
10301,39.54545455,6.14,2.98,53.64545455,66.8,2016,11
10302,41.33333333,5.966666667,2.666666667,51.3,58.3,2016,4
10303,28.28571429,6.285714286,2.742857143,52.45714286,57.8,2016,7
10304,36,5.955555556,2.644444444,54.03,65.1,2016,10
10305,29.9,6.622222222,2.666666667,51.86,66.8,2016,11
10306,29.84615385,6.577777778,3.144444444,58.00769231,66.5,2016,14
10307,27.25,6.65,3.2,58.1,61.7,2016,4
10308,38.8,6.65,3.625,47.28333333,59.9,2016,6
10309,27.3,6.5875,3.4125,53.7,58.5,2016,10
10310,36.09090909,6.43,2.71,51.90909091,59.9,2016,11
10312,51.8,6.625,3.2375,50.67,61.7,2016,10
10314,31.92,6.605263158,3.1,52.492,65.2,2016,25
10451,35,6.261538462,3.069230769,44.05333333,57.9,2016,15
10452,57.64705882,6.282352941,3.141176471,48.58823529,66.5,2016,18
10453,42.42857143,6.205263158,2.984210526,47.47619048,64.2,2016,22
10454,34.57894737,6.488235294,3.135294118,46.28095238,65.7,2016,21
10455,38.64285714,6.32,3.66,52.85,64.9,2016,16
10456,34.96153846,5.986363636,2.85,46.83703704,57.7,2016,28
10457,32.28125,6.203125,3.078125,47.18125,62.9,2016,34
10458,68,6.25,3.03,54.05454545,62,2016,11
10459,41.41666667,6.227272727,2.854545455,41.5,53.2,2016,13
10460,35.38888889,6.216666667,3.472222222,47.37777778,58.5,2016,20
10461,51.16666667,6.475,3.391666667,54.13333333,62.1,2016,12
10462,54.90909091,6.45,3.32,55.64545455,64.3,2016,11
10463,39,6.407692308,3.392307692,50.96315789,71.5,2016,19
10464,14,6.9,3.3,51,51,2016,1
10465,36.7,6.355555556,2.611111111,50.03,62.5,2016,10
10466,43.3,6.368421053,3.031578947,48.505,67,2016,20
10467,49.68181818,6.242105263,2.973684211,50.77727273,63.5,2016,22
10468,43.07142857,6.358333333,3.116666667,49.83571429,66.1,2016,15
10469,43.84615385,6.3,3.327272727,51.87692308,65.9,2016,13
10470,50.33333333,6.9,3,51.06666667,61.8,2016,3
10471,48.14285714,6.442857143,3.342857143,52.775,61.4,2016,8
10472,41.2,6.418181818,3.327272727,48.72666667,58.6,2016,15
10473,39.58333333,6.253846154,2.723076923,42.93846154,60.7,2016,14
10474,70,5.6,2.1,52.75,54,2016,2
10475,37,6.56,3.74,45.76666667,60.5,2016,6
11001,36,NA,NA,55.8,55.8,2016,1
11004,45,6.8,2.6,52.9,58.6,2016,2
11101,43.625,6.4875,2.9625,58.9875,68.6,2016,8
11102,27.75,6.657142857,3.314285714,57.12222222,66.1,2016,9
11103,50.66666667,6.716666667,2.7,56.76666667,61.7,2016,6
11104,32.88888889,6.6,2.914285714,56.1,67.9,2016,9
11105,39.625,6.671428571,3.157142857,57.3,68,2016,8
11106,23.14285714,6.466666667,3.1,56.22222222,65.6,2016,10
11109,35,6.9,3.5,61.5,61.5,2016,1
11201,28.86666667,6.661538462,3.453846154,50.65625,65.6,2016,17
11203,33.7037037,5.996153846,3.042307692,48.92903226,65.8,2016,31
11204,41.48,6.4,3.011111111,53.25416667,69.6,2016,25
11205,28.36363636,6.511111111,3.088888889,49.80833333,60,2016,13
11206,29.75,6.275,3.15,52.61818182,72,2016,22
11207,35.88888889,6.315384615,2.973076923,49.38148148,64.8,2016,29
11208,41.04,6.005,2.825,47.44230769,63.4,2016,27
11209,51,6.672727273,3.381818182,57.49090909,67.7,2016,11
11210,28.375,6.235294118,3.370588235,46.16470588,62.7,2016,17
11211,32.52941176,6.506666667,3.386666667,53.26842105,69.3,2016,20
11212,35.76,6.169565217,3.413043478,46.348,66.5,2016,25
11213,37.125,6.135714286,3.021428571,48.86875,66.2,2016,17
11214,55.08333333,6.618181818,3.381818182,56.00833333,71.2,2016,13
11215,48.94117647,6.614285714,3.264285714,52.02352941,59.6,2016,17
11216,24.53333333,6.338461538,3.415384615,46.88666667,65.4,2016,15
11217,50.125,6.4875,2.9125,50.32857143,62.3,2016,8
11218,40.45,6.53,3.665,52.99047619,71.9,2016,23
11219,43.04347826,6.559090909,3.663636364,54.85,64.4,2016,24
11220,64.8,6.15,3.138888889,53.03,64.8,2016,22
11221,28.56666667,6.206451613,3.090322581,50.56451613,61.4,2016,34
11222,41.5,5.766666667,3.066666667,50.35714286,62.9,2016,7
11223,44.4,6.475,3.48125,48.43,65.5,2016,20
11224,30.69230769,6.475,3.416666667,46.90833333,66.3,2016,13
11225,35.71428571,6.121428571,3.307142857,52.95,67.5,2016,14
11226,33.69565217,6.3375,3.3,47.83181818,63,2016,25
11228,51.1,6.6,3.477777778,55.86363636,66.5,2016,11
11229,39.72222222,6.441176471,3.247058824,51.05,62.8,2016,19
11230,39.78947368,6.427777778,3.822222222,52.71,64.5,2016,20
11231,34.22222222,6.4625,3.3625,47.47777778,61.8,2016,10
11232,50.44444444,6.488888889,3.266666667,52.46666667,64.4,2016,9
11233,26.34782609,6.135,3.05,47.59565217,62.4,2016,23
11234,35.21428571,6.727272727,3.936363636,48.29285714,69.8,2016,14
11235,36.375,6.545833333,3.283333333,52.25833333,68.5,2016,25
11236,45.22222222,6.35,3.055555556,48.97368421,63,2016,20
11237,44.55555556,6.414285714,3.642857143,53.26666667,64.9,2016,9
11238,47.5,6,2.85,51.9,65.1,2016,9
11239,38.2,6.34,2.82,53.7,62.4,2016,5
11249,32,6.633333333,3.866666667,56.23333333,61.5,2016,3
11354,37.05263158,6.36875,3.11875,52.11578947,65.2,2016,19
11355,47.5,6.372222222,2.977777778,55.53888889,65.7,2016,18
11356,45,6.7,3.9,50.05,50.1,2016,2
11357,47.11111111,6.671428571,3.371428571,53.46666667,61.1,2016,9
11358,34.08333333,6.663636364,3.409090909,54.45833333,62.5,2016,12
11360,33.66666667,6,2.35,53.2,58.3,2016,3
11361,35.81818182,6.690909091,3.218181818,50.45454545,63.4,2016,11
11362,39.5,6.76,3.52,59.98333333,65.6,2016,6
11363,30,6.8,3.966666667,61.26666667,63.9,2016,3
11364,40.77777778,6.84,3.44,54.64444444,61.2,2016,9
11365,29.3,6.31,3.18,52.6,69.6,2016,11
11366,28.14285714,6.58,3.14,56.05714286,63.1,2016,7
11367,41,6.177777778,3.166666667,54.2,67.2,2016,11
11368,48.66666667,6.5,2.85,57.312,73.3,2016,26
11369,50.54545455,6.57,3.02,57.80909091,63.3,2016,11
11372,59.84615385,6.436363636,3.354545455,52.77692308,64,2016,13
11373,53.25,6.370588235,3.094117647,55.08636364,69.8,2016,22
11374,38.81818182,6.75,3.75,55.24545455,68.3,2016,11
11375,44.78571429,6.438461538,2.946153846,54.37333333,71.4,2016,16
11377,38.95,6.552631579,2.757894737,56.16,69.2,2016,20
11378,32.5,6.62,3.16,60.25,70.2,2016,6
11379,37.625,6.357142857,2.928571429,58.9125,69.8,2016,8
11385,41.57894737,6.588235294,3.247058824,58.585,71.1,2016,21
11411,37.6,6.333333333,2.283333333,57.05,65.5,2016,6
11412,36.4,6.3,3.05,52.65,67.5,2016,10
11413,31.875,6.45,2.7375,46.1875,62.4,2016,8
11414,31.66666667,6.75,3.425,58.45,64.4,2016,6
11415,47,6.483333333,3.133333333,57.01666667,64.1,2016,6
11416,82,6.275,2.85,57.12,63,2016,5
11417,38,6.5,3.8,55.95,57.1,2016,2
11418,35.54545455,6.554545455,3.463636364,56.83076923,69.9,2016,14
11419,23.61538462,6.415384615,3.084615385,53.52307692,68.2,2016,13
11420,31.27272727,6.65,3.4375,56.54545455,64.6,2016,11
11421,51.5,6.3875,2.9625,55.66666667,61.1,2016,8
11422,41.83333333,6.25,3.333333333,52,59.5,2016,6
11423,31.33333333,6.54,2.34,50.95,57.4,2016,6
11426,37.5,6.466666667,2.466666667,60.625,62.3,2016,4
11427,43,6.425,2.85,50.2,56.5,2016,4
11428,48,6.475,2.85,52.95,58.9,2016,4
11429,38.83333333,6.62,3.24,54.76666667,62.9,2016,6
11430,27,7,2.3,59.1,59.1,2016,1
11432,38.9,6.488888889,3.377777778,51.72857143,65.6,2016,21
11433,35.5,6.4375,2.5625,50.46666667,63.8,2016,9
11434,33.10526316,6.505555556,3.316666667,48.34736842,60.2,2016,19
11435,38.30769231,6.4,2.638461538,51.31428571,68.7,2016,14
11436,30.25,6.6,4.2,48.65,56.1,2016,4
11451,14,NA,NA,45.2,45.2,2016,1
11691,45.84615385,6.45,2.8,49.75384615,64.8,2016,13
11692,31.83333333,6.2,3.2,45,56.9,2016,6
11693,20.33333333,6.75,4,52.625,55.9,2016,4
11694,33,6.65,3.15,54.6,62.5,2016,4
11697,36,NA,NA,48.2,48.2,2016,1